Method,Dataset,TLB
sfa_equi-width_False,SemgHandMovementCh2,0.1906474982415265
sfa_equi-depth_True,SemgHandMovementCh2,0.1972563978528068
sfa_equi-depth_False,SemgHandMovementCh2,0.19353050371897698
isax,SemgHandSubjectCh2,0.1267896323864361
sfa_equi-width_True,SemgHandSubjectCh2,0.19587260304069737
sfa_equi-width_False,SemgHandSubjectCh2,0.19061314215893815
sfa_equi-depth_True,SemgHandSubjectCh2,0.1978346342641905
sfa_equi-depth_False,SemgHandSubjectCh2,0.19426256904044895
isax,ShakeGestureWiimoteZ,0.38231379052309833
sfa_equi-width_True,ShakeGestureWiimoteZ,0.4795665385410649
sfa_equi-width_False,ShakeGestureWiimoteZ,0.4550002176570768
sfa_equi-depth_True,ShakeGestureWiimoteZ,0.4773687832692766
sfa_equi-depth_False,ShakeGestureWiimoteZ,0.4564987022684532
isax,ShapeletSim,0.08639202807862101
sfa_equi-width_True,ShapeletSim,0.1579274765469079
sfa_equi-width_False,ShapeletSim,0.12832678563617933
sfa_equi-depth_True,ShapeletSim,0.1550252926777929
sfa_equi-depth_False,ShapeletSim,0.1293311201253773
isax,ShapesAll,0.6321529331473154
sfa_equi-width_True,ShapesAll,0.6368639515567169
sfa_equi-width_False,ShapesAll,0.6368639515567169
sfa_equi-depth_True,ShapesAll,0.6564901267547826
sfa_equi-depth_False,ShapesAll,0.6564901267547826
isax,SmallKitchenAppliances,0.14092002823740596
sfa_equi-width_True,SmallKitchenAppliances,0.13828494541745184
sfa_equi-width_False,SmallKitchenAppliances,0.1327857002383133
sfa_equi-depth_True,SmallKitchenAppliances,0.15800373960444483
sfa_equi-depth_False,SmallKitchenAppliances,0.15373835827983126
isax,SonyAIBORobotSurface1,0.3661846677239562
sfa_equi-width_True,SonyAIBORobotSurface1,0.564859732564972
sfa_equi-width_False,SonyAIBORobotSurface1,0.5633495271853105
sfa_equi-depth_True,SonyAIBORobotSurface1,0.5754113625697672
sfa_equi-depth_False,SonyAIBORobotSurface1,0.5713675381267016
isax,SonyAIBORobotSurface2,0.3745686316471143
sfa_equi-width_True,SonyAIBORobotSurface2,0.5704461444242458
sfa_equi-width_False,SonyAIBORobotSurface2,0.48557799942745616
sfa_equi-depth_True,SonyAIBORobotSurface2,0.5961696495431754
sfa_equi-depth_False,SonyAIBORobotSurface2,0.48719776325684916
isax,StarLightCurves,0.5324644545092757
sfa_equi-width_True,StarLightCurves,0.6181435475810918
sfa_equi-width_False,StarLightCurves,0.6167544647313932
sfa_equi-depth_True,StarLightCurves,0.6556860930402627
sfa_equi-depth_False,StarLightCurves,0.6557123675368671
isax,Strawberry,0.21765388332652377
