Method,Dataset,Pruning Power
sfa_equi-depth_True,EOGVerticalSignal,0.9613259668508287
sfa_equi-depth_True,EthanolLevel,0.938
sfa_equi-depth_True,FaceAll,0.6994082840236686
sfa_equi-depth_True,FaceFour,0.5
sfa_equi-depth_True,FacesUCR,0.7
sfa_equi-depth_True,FiftyWords,0.945054945054945
sfa_equi-depth_True,Fish,0.88
sfa_equi-depth_True,FordA,0.45075757575757575
sfa_equi-depth_True,FordB,0.5296296296296297
sfa_equi-depth_True,FreezerRegularTrain,0.8926315789473684
sfa_equi-depth_True,FreezerSmallTrain,0.88
sfa_equi-depth_True,Fungi,0.9623655913978495
sfa_equi-depth_True,GestureMidAirD1,0.9538461538461539
sfa_equi-depth_True,GestureMidAirD2,1.0
sfa_equi-depth_True,GestureMidAirD3,1.0
sfa_equi-depth_True,GesturePebbleZ1,0.563953488372093
sfa_equi-depth_True,GesturePebbleZ2,0.4050632911392405
sfa_equi-depth_True,GunPoint,0.9
sfa_equi-depth_True,GunPointAgeSpan,0.990506329113924
sfa_equi-depth_True,GunPointMaleVersusFemale,0.9778481012658228
sfa_equi-depth_True,GunPointOldVersusYoung,0.9714285714285714
sfa_equi-depth_True,Ham,0.3142857142857143
sfa_equi-depth_True,HandOutlines,0.9486486486486486
sfa_equi-depth_True,Haptics,0.8344155844155844
sfa_equi-depth_True,Herring,0.8125
sfa_equi-depth_True,HouseTwenty,0.23529411764705882
sfa_equi-depth_True,InlineSkate,0.98
sfa_equi-depth_True,InsectEPGRegularTrain,0.9036144578313253
sfa_equi-depth_True,InsectEPGSmallTrain,0.7068273092369478
sfa_equi-depth_True,InsectWingbeatSound,0.9227272727272727
sfa_equi-depth_True,ItalyPowerDemand,0.9310009718172984
sfa_equi-depth_True,LargeKitchenAppliances,0.17333333333333334
sfa_equi-depth_True,Lightning2,0.4918032786885246
sfa_equi-depth_True,Lightning7,0.684931506849315
sfa_equi-depth_True,Mallat,0.8665245202558636
sfa_equi-depth_True,Meat,0.9166666666666666
sfa_equi-depth_True,MedicalImages,0.9763157894736842
sfa_equi-depth_True,MiddlePhalanxOutlineAgeGroup,0.8246753246753247
sfa_equi-depth_True,MiddlePhalanxOutlineCorrect,0.9037800687285223
sfa_equi-depth_True,MiddlePhalanxTW,0.9675324675324676
sfa_equi-depth_True,MixedShapesRegularTrain,0.9781443298969072
sfa_equi-depth_True,MixedShapesSmallTrain,0.9616494845360825
sfa_equi-depth_True,MoteStrain,0.597444089456869
sfa_equi-depth_True,NonInvasiveFetalECGThorax1,0.9669211195928753
sfa_equi-depth_True,NonInvasiveFetalECGThorax2,0.971501272264631
sfa_equi-depth_True,OliveOil,0.6333333333333333
sfa_equi-depth_True,OSULeaf,0.9090909090909091
sfa_equi-depth_True,PhalangesOutlinesCorrect,0.9743589743589743
sfa_equi-depth_True,Phoneme,0.007911392405063292
sfa_equi-depth_True,PickupGestureWiimoteZ,0.9
sfa_equi-depth_True,PigAirwayPressure,0.9615384615384616
sfa_equi-depth_True,PigArtPressure,0.8653846153846154
sfa_equi-depth_True,PigCVP,0.3125
sfa_equi-depth_True,PLAID,0.7262569832402235
sfa_equi-depth_True,Plane,0.9714285714285714
sfa_equi-depth_True,PowerCons,0.7722222222222223
sfa_equi-depth_True,ProximalPhalanxOutlineAgeGroup,0.8780487804878049
sfa_equi-depth_True,ProximalPhalanxOutlineCorrect,0.9072164948453608
sfa_equi-depth_True,ProximalPhalanxTW,0.9073170731707317
sfa_equi-depth_True,RefrigerationDevices,0.008
sfa_equi-depth_True,Rock,0.68
sfa_equi-depth_True,ScreenType,0.6506666666666666
sfa_equi-depth_True,SemgHandGenderCh2,0.005
sfa_equi-depth_True,SemgHandMovementCh2,0.013333333333333334
sfa_equi-depth_True,SemgHandSubjectCh2,0.006666666666666667
sfa_equi-depth_True,ShakeGestureWiimoteZ,0.82
sfa_equi-depth_True,ShapeletSim,0.0
sfa_equi-depth_True,ShapesAll,0.9616666666666667
sfa_equi-depth_True,SmallKitchenAppliances,0.008
sfa_equi-depth_True,SonyAIBORobotSurface1,0.5241264559068219
sfa_equi-depth_True,SonyAIBORobotSurface2,0.7544596012591815
sfa_equi-depth_True,StarLightCurves,0.9435405536668285
sfa_equi-depth_True,Strawberry,0.9945945945945946
sfa_equi-depth_True,SwedishLeaf,0.9264
sfa_equi-depth_True,Symbols,0.8582914572864322
sfa_equi-depth_True,SyntheticControl,0.7633333333333333
sfa_equi-depth_True,ToeSegmentation1,0.7236842105263158
sfa_equi-depth_True,ToeSegmentation2,0.8
sfa_equi-depth_True,Trace,0.91
sfa_equi-depth_True,TwoLeadECG,0.8867427568042142
sfa_equi-depth_True,TwoPatterns,0.92775
sfa_equi-depth_True,UMD,0.8819444444444444
sfa_equi-depth_True,UWaveGestureLibraryAll,0.9508654383026243
sfa_equi-depth_True,UWaveGestureLibraryX,0.9659408151870463
sfa_equi-depth_True,UWaveGestureLibraryY,0.9684533780011167
sfa_equi-depth_True,Wafer,0.950519143413368
sfa_equi-depth_True,Wine,0.9444444444444444
sfa_equi-depth_True,WordSynonyms,0.957680250783699
sfa_equi-depth_True,Worms,0.7662337662337663
sfa_equi-depth_True,WormsTwoClass,0.7662337662337663
sfa_equi-depth_True,Yoga,0.99
sfa_equi-depth_False,ArrowHead,0.8742857142857143
sfa_equi-depth_False,Beef,0.8666666666666667
sfa_equi-depth_False,BeetleFly,0.6
sfa_equi-depth_False,BirdChicken,0.7
sfa_equi-depth_False,BME,0.8733333333333333
sfa_equi-depth_False,Car,0.95
sfa_equi-depth_False,CBF,0.5333333333333333
sfa_equi-depth_False,Chinatown,0.8688046647230321
sfa_equi-depth_False,ChlorineConcentration,0.9294270833333333
sfa_equi-depth_False,CinCECGTorso,0.6456521739130435
sfa_equi-depth_False,Coffee,0.7142857142857143
sfa_equi-depth_False,Computers,0.656
sfa_equi-depth_False,CricketX,0.717948717948718
sfa_equi-depth_False,CricketY,0.8487179487179487
sfa_equi-depth_False,CricketZ,0.7923076923076923
sfa_equi-depth_False,Crop,0.9888690476190476
sfa_equi-depth_False,DiatomSizeReduction,0.9313725490196079
sfa_equi-depth_False,DistalPhalanxOutlineAgeGroup,0.7913669064748201
sfa_equi-depth_False,DistalPhalanxOutlineCorrect,0.9420289855072463
sfa_equi-depth_False,DistalPhalanxTW,0.9424460431654677
sfa_equi-depth_False,DodgerLoopDay,0.35
sfa_equi-depth_False,DodgerLoopGame,0.07971014492753623
sfa_equi-depth_False,DodgerLoopWeekend,0.11594202898550725
sfa_equi-depth_False,Earthquakes,0.0
sfa_equi-depth_False,ECG200,0.97
sfa_equi-depth_False,ECG5000,0.9008888888888889
sfa_equi-depth_False,ECGFiveDays,0.7572590011614402
sfa_equi-depth_False,EOGHorizontalSignal,0.9226519337016574
sfa_equi-depth_False,EOGVerticalSignal,0.919889502762431
sfa_equi-depth_False,EthanolLevel,0.956
sfa_equi-depth_False,FaceAll,0.4272189349112426
sfa_equi-depth_False,FaceFour,0.18181818181818182
sfa_equi-depth_False,FacesUCR,0.5502439024390244
sfa_equi-depth_False,FiftyWords,0.9736263736263736
sfa_equi-depth_False,Fish,0.92
sfa_equi-depth_False,FordA,0.0
sfa_equi-depth_False,FordB,0.0
sfa_equi-depth_False,FreezerRegularTrain,0.9087719298245615
sfa_equi-depth_False,FreezerSmallTrain,0.7989473684210526
sfa_equi-depth_False,Fungi,0.8978494623655914
sfa_equi-depth_False,GestureMidAirD1,0.9769230769230769
sfa_equi-depth_False,GestureMidAirD2,0.9307692307692308
sfa_equi-depth_False,GestureMidAirD3,0.9692307692307692
sfa_equi-depth_False,GesturePebbleZ1,0.3953488372093023
sfa_equi-depth_False,GesturePebbleZ2,0.379746835443038
sfa_equi-depth_False,GunPoint,0.84
sfa_equi-depth_False,GunPointAgeSpan,0.9810126582278481
sfa_equi-depth_False,GunPointMaleVersusFemale,0.9746835443037974
sfa_equi-depth_False,GunPointOldVersusYoung,0.9809523809523809
sfa_equi-depth_False,Ham,0.10476190476190476
sfa_equi-depth_False,HandOutlines,0.9945945945945946
sfa_equi-depth_False,Haptics,0.9188311688311688
sfa_equi-depth_False,Herring,0.875
