Method,Dataset,TLB
sfa_equi-width_True_True_log_scale,MiddlePhalanxOutlineAgeGroup,0.3825172105529569
sfa_equi-width_True_True_sqrt_scale,MiddlePhalanxOutlineAgeGroup,0.3825172105529569
isax,MiddlePhalanxOutlineCorrect,0.13701674873186157
sfa_equi-width_True_True_dynamic_programming,MiddlePhalanxOutlineCorrect,0.3790922267689066
sfa_equi-width_True_True_linear_scale,MiddlePhalanxOutlineCorrect,0.3793908767550423
sfa_equi-width_True_True_log_scale,MiddlePhalanxOutlineCorrect,0.3793908767550423
sfa_equi-width_True_True_sqrt_scale,MiddlePhalanxOutlineCorrect,0.3848219266382055
isax,MiddlePhalanxTW,0.12661840668806523
sfa_equi-width_True_True_dynamic_programming,MiddlePhalanxTW,0.36291208538023
sfa_equi-width_True_True_linear_scale,MiddlePhalanxTW,0.38390547274308534
sfa_equi-width_True_True_log_scale,MiddlePhalanxTW,0.38390547274308534
sfa_equi-width_True_True_sqrt_scale,MiddlePhalanxTW,0.38390547274308534
isax,MixedShapesRegularTrain,0.40544769086220867
sfa_equi-width_True_True_dynamic_programming,MixedShapesRegularTrain,0.4420706961063508
sfa_equi-width_True_True_linear_scale,MixedShapesRegularTrain,0.5967219662760012
sfa_equi-width_True_True_log_scale,MixedShapesRegularTrain,0.5967219662760012
sfa_equi-width_True_True_sqrt_scale,MixedShapesRegularTrain,0.5967219662760012
isax,MixedShapesSmallTrain,0.3994687868721688
sfa_equi-width_True_True_dynamic_programming,MixedShapesSmallTrain,0.44484853577593436
sfa_equi-width_True_True_linear_scale,MixedShapesSmallTrain,0.607373076368448
sfa_equi-width_True_True_log_scale,MixedShapesSmallTrain,0.6094068154501081
sfa_equi-width_True_True_sqrt_scale,MixedShapesSmallTrain,0.6094068154501081
isax,MoteStrain,0.2814042796692528
sfa_equi-width_True_True_dynamic_programming,MoteStrain,0.3828491293112722
sfa_equi-width_True_True_linear_scale,MoteStrain,0.4871050821689016
sfa_equi-width_True_True_log_scale,MoteStrain,0.49785943028147667
sfa_equi-width_True_True_sqrt_scale,MoteStrain,0.49785943028147667
isax,NonInvasiveFetalECGThorax1,0.15295962582299294
sfa_equi-width_True_True_dynamic_programming,NonInvasiveFetalECGThorax1,0.3346375055038848
sfa_equi-width_True_True_linear_scale,NonInvasiveFetalECGThorax1,0.35478929891829103
sfa_equi-width_True_True_log_scale,NonInvasiveFetalECGThorax1,0.3684089940873803
sfa_equi-width_True_True_sqrt_scale,NonInvasiveFetalECGThorax1,0.3684089940873803
isax,NonInvasiveFetalECGThorax2,0.16780193833784957
sfa_equi-width_True_True_dynamic_programming,NonInvasiveFetalECGThorax2,0.31429360398806616
sfa_equi-width_True_True_linear_scale,NonInvasiveFetalECGThorax2,0.34010048249922764
sfa_equi-width_True_True_log_scale,NonInvasiveFetalECGThorax2,0.34010048249922764
sfa_equi-width_True_True_sqrt_scale,NonInvasiveFetalECGThorax2,0.34010048249922764
isax,OliveOil,0.0
sfa_equi-width_True_True_dynamic_programming,OliveOil,0.15924785700718058
sfa_equi-width_True_True_linear_scale,OliveOil,0.2920315492600916
sfa_equi-width_True_True_log_scale,OliveOil,0.2920315492600916
sfa_equi-width_True_True_sqrt_scale,OliveOil,0.2920315492600916
isax,OSULeaf,0.40799655998839474
sfa_equi-width_True_True_dynamic_programming,OSULeaf,0.4439123552164777
sfa_equi-width_True_True_linear_scale,OSULeaf,0.5317686298642933
sfa_equi-width_True_True_log_scale,OSULeaf,0.5317686298642933
sfa_equi-width_True_True_sqrt_scale,OSULeaf,0.5317686298642933
isax,PhalangesOutlinesCorrect,0.13733457348900158
sfa_equi-width_True_True_dynamic_programming,PhalangesOutlinesCorrect,0.2664953704633775
sfa_equi-width_True_True_linear_scale,PhalangesOutlinesCorrect,0.3246283342227077
sfa_equi-width_True_True_log_scale,PhalangesOutlinesCorrect,0.3246283342227077
sfa_equi-width_True_True_sqrt_scale,PhalangesOutlinesCorrect,0.3246283342227077
isax,Phoneme,0.11209648203416553
sfa_equi-width_True_True_dynamic_programming,Phoneme,0.15853798656934948
sfa_equi-width_True_True_linear_scale,Phoneme,0.15939754572037718
sfa_equi-width_True_True_log_scale,Phoneme,0.15939754572037718
sfa_equi-width_True_True_sqrt_scale,Phoneme,0.15939754572037718
isax,PickupGestureWiimoteZ,0.31065129253682316
sfa_equi-width_True_True_dynamic_programming,PickupGestureWiimoteZ,0.4153914512535434
sfa_equi-width_True_True_linear_scale,PickupGestureWiimoteZ,0.5027268096615578
sfa_equi-width_True_True_log_scale,PickupGestureWiimoteZ,0.5015197570804519
sfa_equi-width_True_True_sqrt_scale,PickupGestureWiimoteZ,0.5015197570804519
isax,PigAirwayPressure,0.43936799651012276
sfa_equi-width_True_True_dynamic_programming,PigAirwayPressure,0.4304979308926699
sfa_equi-width_True_True_linear_scale,PigAirwayPressure,0.5951491979564019
sfa_equi-width_True_True_log_scale,PigAirwayPressure,0.6055494132612321
sfa_equi-width_True_True_sqrt_scale,PigAirwayPressure,0.6011830685690737
isax,PigArtPressure,0.17697362997436591
sfa_equi-width_True_True_dynamic_programming,PigArtPressure,0.36696584583251685
sfa_equi-width_True_True_linear_scale,PigArtPressure,0.4320796013831214
sfa_equi-width_True_True_log_scale,PigArtPressure,0.41365272228409067
sfa_equi-width_True_True_sqrt_scale,PigArtPressure,0.41365272228409067
isax,PigCVP,0.3092436711813861
sfa_equi-width_True_True_dynamic_programming,PigCVP,0.3268456666516067
sfa_equi-width_True_True_linear_scale,PigCVP,0.40882719366321596
sfa_equi-width_True_True_log_scale,PigCVP,0.4081802614648195
sfa_equi-width_True_True_sqrt_scale,PigCVP,0.40882719366321596
isax,PLAID,0.27099055337577854
sfa_equi-width_True_True_dynamic_programming,PLAID,0.2942650214407515
sfa_equi-width_True_True_linear_scale,PLAID,0.40088690845380087
sfa_equi-width_True_True_log_scale,PLAID,0.40088690845380087
